,"Independente de querer comprar ou não, coloque aqui palavras ou frases que descrevam seu curso e/ou a UNIFEI para compor a nuvem da camisa"
1,
2,Lógica
3,
4,Determinação 
5,
6,
7,bugou
8,
9,Silício
10,C++
11,Bug’s
12,"Programação, Códigos"
13,esforço e dedicação
14,"Codar, máquina "
15,"Programação, Developer, Full Stack, Back-end, Front-end, engenharia, geforce, amd, nvidia, .exe, ctrl+c, ctrl+v, stackoverflow, git, github, discord, rgb, gamer"
16,"computador 
código
programa
JavaScript
Python
c++
"
17,
18,
19,
20,
21,"Trabalho, rede, computador, Java, HTML, c++, programas, café"
22,"computação
programa 
código
JavaScript
python
c++
"
23,Socorro 
24,"ECO, Programação, computador, computação, faculdade, trabalho, sintaxe, c++, puthon"
25,
26,"Unifei, Engenharia, Federal, Computação, Programação, Cálculo, C++, Java "
27,
28,Magia
29,persistência 
30,
31,
32,Jonatá Ipatinga Computação
33,
34,
35,
36,
37,Complicado
38,
39,Longe
40,C++
41,
42,Doidera
43,
44,
45,Trancar
46,Programação
47,
48,
49,
50,
51,Ctr+s
52,Sofrimento
53,programação
54,tristeza
55,
56,
57,
58,
59,Programação
60,"Programar
Paciência 
"
61,"6  é 10
"
62,
63,
64,
65,Futuro
66,
67,
68,Ódio
69,Computaria
70,Depressão
71,sofrimento 
72,Programa
73,
74,"Dark Mode is Life,
JS >>> Python,
Se funcionou, não mexa!
Na dúvida: git push --force"
75,No meu computador funciona.
76,Bug
77,Há vagas
78,ELEFANTE ROSA
79,programa computador software
80,Programa
81,
82,
83,"Compilador, Programar, Construir........."
84,
85,
86,
87,"Jonatá Ipatinga Computação, Todos os elefantes usam calças cor de rosa, C++, C,  NMOS, PMOS, NPN, PNP, Turing, ECO, Von Neumann, Alan Turing, Alan Turing, Alan Turing, Alan Turing, Alan Turing, Alan Turing, Alan Turing, Alan Turing, Ploft, CAAT, CAAT, CAAT, CAAT, CAAT, CAAT, Enigma"
88,
89,
90,
91,"EAM
AMBIENTAL É MAIS LEGAL
""CÊ PEGA EM BICHO?""
""PLANTAR UMA ÁRVORE ""
""QUE BICHO É ESSE?""
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM

EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
AMBIENTAL
EAM
"
92,Computaria
93,
94,"unifei, universidade, federal, itabira, itajubá, IronRacers, seeac, rede camaco, CoreTech, baja, Lots, campus, aluno, controle, automação, computação, elétrica, ict, ernesto, prática, laboratório, relatório, diodo, eletrônica, cálculo, física, rodrigo, prédio, anexo, pesquisa, projeto, extensão, engenharia popular, tecnologia, informação,"
95,
96,"Ônibus , Minério , Ferro , Viagem , Estudos , Provas , Práticas, Laboratório , Aprender , Circuitos , Computação , Engenharia , programação, tecnologia , código, return"
97,
98,
99,
100,"Unifei mais que uma Universidade, um Inferno."
101,
102,"CAAT 
Calango
Calango doido"
103,
104,"Amor, ódio."
105,REI DO GADO
106,"Inferno, Ônibus Lotado, Ansiedade, Depressão, Caronte, Elefante Rosa, Uber, Alan Turing, Desistir é sempre uma opção"
