,Quais palavras ou frases você gostaria que aparecessem na nuvem?
7,Python
12,"Function, C, return, goto"
19,"Programar, stress, café, saporra não funciona."
21,"Alan Turing, programação, trabalho "
31,"Ensino, programação, aprendizado, tecnologia"
32,Debugar
34,"estudos ,  computação , sofrimento ,  programação, tecnologia ,  código, return"
45,"Programação, nuvem, Alan Turing, café, projeto, bugs, c++, Java, commit"
46,"ECO, eletrônica, programação, todos os elefantes usam calças cor-de-rosa, sou garoto de programas, faço programa"
47,"UNIFEI, engenharia, RTE, laboratório, cálculo, calango, discente, docente, aluno, Theodomiro, elétrica, realização, computação, produção, conquista, materiais, controle, automação, saúde, segurança, ambiental, mecânica, universidade, Itabira, federal, Itajubá,  projetos, extensão, graduação, iniciação científica, energia, capacidade, integridade, princípios, sonhos, trabalho, programação, empresas, coordenação, complexo, todo, conjunto, possibilidades, competência, direito"
55,"Unifei, Computação, Bug"
64,"Resultado ,produção , otimização ,festas , bebidas ,drogas , estudo "
68,"Busao
Campestre
Amazonas
Lab"
69,"Itabira, Amor, Cardume, desenvolvimento ecônomico, "
75,"morte, inferno"
81,"Engenharia, programação, bugs, hardware, tecnologia."
83,Elefante Rosa
86,"Cálculo, Programar, Computador, Computação, Compilar, Bugs, Glitch, Amor"
91,"Tesla, Energia, Potência, Eletrônica, Microcomponentes, Transistor, Resistor, Circuitos, Hardware, Fonte, Energia Nuclear, Power"
